path,group,grid,run,crashed,started,finished
weedmapping-sequoia,SplitLawinFineTune,1,12,False,12-10-2022T20:05:56,12-10-2022T21:39:17
weedmapping-sequoia,SplitLawinFineTune,1,13,False,12-10-2022T21:39:17,12-10-2022T22:44:40
weedmapping-sequoia,SplitLawinFineTune,1,14,False,13-10-2022T10:47:05,13-10-2022T11:15:07
weedmapping-sequoia,SplitLawinFineTune,1,15,False,13-10-2022T11:15:07,13-10-2022T12:47:17
kdtest,SplitLawinFineTune,0,0,False,17-01-2023T17:10:20,17-01-2023T17:16:51
kdtest,SplitLawinFineTune,1,0,False,17-01-2023T17:04:21,17-01-2023T17:05:52
LawinKD,VIL/LawinL0,0,0,False,18-01-2023T18:26:13,18-01-2023T18:49:06
LawinKD,VIL/LawinL0,0,1,False,18-01-2023T18:49:06,18-01-2023T19:52:47
LawinKD,VIL/LawinL0,0,2,False,18-01-2023T19:52:47,18-01-2023T20:57:00
LawinKD,test/VIL/LawinL0,0,0,True,18-01-2023T17:36:02,18-01-2023T17:54:26
LawinKD,test/VIL/LawinL0,0,1,False,18-01-2023T16:09:57,18-01-2023T16:11:22
LawinKD,test/VIL/LawinL0,0,2,False,18-01-2023T16:11:22,18-01-2023T16:12:46
test/LawinKD,VIL/LawinL0,0,0,True,19-01-2023T14:56:55,19-01-2023T14:57:12
test/LawinKD,VIL,0,0,False,20-01-2023T16:06:31,20-01-2023T16:08:03
test/LawinKD,VIL,0,1,False,20-01-2023T16:08:03,
test_real/LawinKD,VIL,0,0,False,20-01-2023T17:40:41,
test_real/LawinKD,VIL,0,1,False,20-01-2023T17:08:17,20-01-2023T17:09:47
test_real/LawinKD,VIL,0,2,False,20-01-2023T17:09:47,20-01-2023T17:11:17
test_real/LawinKD,VIL,1,0,False,20-01-2023T17:11:17,20-01-2023T17:15:08
test_real/LawinKD,VIL,1,1,True,20-01-2023T17:03:22,20-01-2023T17:03:22
LawinKD,General,0,0,False,21-01-2023T15:47:57,21-01-2023T16:12:01
LawinKD,General,0,1,False,21-01-2023T16:12:01,21-01-2023T16:34:58
LawinKD,General,0,2,False,21-01-2023T16:34:58,21-01-2023T16:57:51
LawinKD,General,1,0,False,22-01-2023T18:21:44,22-01-2023T19:04:50
LawinKD,NoDist,0,0,False,21-01-2023T14:46:59,
LawinKD,NoDistillation,0,0,False,21-01-2023T14:51:22,21-01-2023T15:37:12
LawinKD,General,0,3,False,21-01-2023T16:57:51,21-01-2023T18:05:51
LawinKD,General,0,4,False,21-01-2023T18:05:51,21-01-2023T19:09:27
LawinKD,General,0,5,False,21-01-2023T19:09:27,21-01-2023T20:12:43
LawinKD,General,0,6,False,21-01-2023T20:12:43,21-01-2023T21:20:30
LawinKD,General,0,7,False,21-01-2023T21:20:30,21-01-2023T22:27:02
LawinKD,General,0,8,False,21-01-2023T22:27:02,21-01-2023T23:59:36
LawinKD,General,1,1,False,22-01-2023T19:04:50,22-01-2023T20:12:43
test/LawinKD,Logits,0,0,False,22-01-2023T17:46:36,22-01-2023T17:48:34
test/LawinKD,Logits,0,1,False,22-01-2023T17:48:34,22-01-2023T17:50:04
test/LawinKD,Logits,0,2,False,22-01-2023T17:50:04,22-01-2023T17:51:34
test/LawinKD,Logits,0,3,False,22-01-2023T17:51:34,22-01-2023T17:53:04
test/LawinKD,General,1,0,False,22-01-2023T18:08:27,22-01-2023T18:09:49
test/LawinKD,General,1,1,False,22-01-2023T18:09:49,22-01-2023T18:11:09
test/LawinKD,General,1,2,False,22-01-2023T18:11:09,22-01-2023T18:12:25
test/LawinKD,General,1,3,False,22-01-2023T18:12:25,22-01-2023T18:13:40
LawinKD,General,1,2,False,22-01-2023T20:12:43,22-01-2023T21:14:17
LawinKD,General,1,3,False,22-01-2023T21:14:17,22-01-2023T22:22:51
LawinKD,Logits,0,0,False,23-01-2023T14:58:41,
LawinKD,Logits,0,1,False,23-01-2023T00:20:01,23-01-2023T02:41:32
LawinKD,Logits,0,2,False,23-01-2023T02:41:32,23-01-2023T04:18:45
LawinKD,Logits,0,3,False,23-01-2023T04:18:45,23-01-2023T06:51:51
WeedMapKDRedEdge,NoDistillation,0,0,False,23-01-2023T12:13:21,23-01-2023T12:59:04
WeedMapKDRedEdge,NoDistillation,0,1,False,23-01-2023T12:59:04,23-01-2023T13:37:12
WeedMapKDRedEdge,NoDistillation,0,2,False,23-01-2023T13:37:12,23-01-2023T14:13:50
WeedMapKDRedEdge,Logits,0,0,False,23-01-2023T17:16:03,23-01-2023T18:27:45
test/WeedMapKDRedEdge,Logits,0,0,False,10-02-2023T16:58:10,10-02-2023T16:59:37
test/WeedMapKDRedEdge,Logits,0,1,False,10-02-2023T16:59:37,10-02-2023T17:00:52
test/WeedMapKDRedEdge,Logits,0,2,False,10-02-2023T17:00:52,
WeedMapKDRedEdge,Feature,0,0,False,23-01-2023T21:42:27,23-01-2023T22:07:37
WeedMapKDRedEdge,Feature,0,1,False,23-01-2023T22:07:37,23-01-2023T22:50:22
WeedMapKDRedEdge,Feature,0,2,False,23-01-2023T22:50:22,23-01-2023T23:28:22
WeedMapKDRedEdge,Feature,0,3,False,23-01-2023T23:28:22,24-01-2023T00:14:23
WeedMapKDRedEdge,Feature,0,4,False,24-01-2023T00:14:24,24-01-2023T00:57:00
WeedMapKDRedEdge,Feature,0,5,False,24-01-2023T00:57:00,24-01-2023T01:34:56
WeedMapKDRedEdge,Feature,1,0,False,24-01-2023T01:34:56,24-01-2023T02:20:53
WeedMapKDRedEdge,Feature,1,1,False,24-01-2023T02:20:54,24-01-2023T03:01:41
WeedMapKDRedEdge,Feature,1,2,False,24-01-2023T03:01:41,24-01-2023T03:39:33
WeedMapKDRedEdge,Logits,0,1,False,23-01-2023T18:27:45,23-01-2023T20:15:23
WeedMapKDRedEdge,Logits,0,2,False,23-01-2023T20:15:23,23-01-2023T21:42:24
test/WDRE,PSA,0,0,False,27-01-2023T12:32:34,
WDRE,PSA,0,0,False,25-01-2023T17:37:07,25-01-2023T19:04:01
WDRE,PSA,0,1,False,25-01-2023T19:04:01,25-01-2023T20:00:07
WDRE,PSA,0,2,False,25-01-2023T20:00:08,25-01-2023T20:32:06
WDRE,PSA,0,3,False,25-01-2023T20:32:06,25-01-2023T21:01:29
WDRE,PSA,0,4,False,25-01-2023T21:01:29,25-01-2023T21:51:45
WDRE,PSA,0,5,False,25-01-2023T21:51:45,25-01-2023T22:35:47
WDRE,PSA/RMI,0,0,False,27-01-2023T12:38:46,27-01-2023T13:27:51
WDRE,PSA/RMI,0,1,False,27-01-2023T13:27:51,27-01-2023T16:14:05
WDRE,PSA/RMI,0,2,False,27-01-2023T16:14:05,27-01-2023T18:48:29
WDRE,PSA/RMI,0,3,False,27-01-2023T18:48:30,27-01-2023T22:56:52
WDRE,PSA/RMI,1,0,False,27-01-2023T22:56:52,28-01-2023T00:26:10
WDRE,PSA/RMI,1,1,False,28-01-2023T00:26:11,28-01-2023T06:38:02
WDRE,PSA/RMI,1,2,False,28-01-2023T06:38:02,28-01-2023T10:03:54
WDRE,PSA/RMI,1,3,False,28-01-2023T10:03:54,28-01-2023T14:45:03
test/WDRE,PSA/RMI_Aux,0,0,False,30-01-2023T14:44:53,
test/WDRE,PSA/RMI_Aux,0,1,False,30-01-2023T12:42:06,30-01-2023T12:45:01
test/WDRE,PSA/RMI_Aux,1,0,False,30-01-2023T12:45:01,30-01-2023T12:47:56
test/WDRE,PSA/RMI_Aux,1,1,False,30-01-2023T12:47:56,30-01-2023T12:50:51
WDRE,PSA/RMI_Aux,0,0,False,30-01-2023T14:54:59,30-01-2023T19:32:40
